,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster,db,Diagnosis
3918,T cell receptor binding (GO:0042608),6-Feb,0.03542131,0.339100003,0,0,9.10326609,30.40892943,DOCK2;HLA-E,All,GO_Molecular_Function_2018,HET
3919,flavin adenine dinucleotide binding (GO:0050660),Jun-48,0.037604388,0.350648711,0,0,2.605730817,8.54845049,NANOS1;OXNAD1;MTRR;NOS3;CYBB;ACAD10,All,GO_Molecular_Function_2018,HET
3920,acetylgalactosaminyltransferase activity (GO:0008376),Jun-48,0.037604388,0.350648711,0,0,2.605730817,8.54845049,GALNT6;B3GNT7;GALNT15;B3GNT2;B4GALNT3;GALNT9,All,GO_Molecular_Function_2018,HET
3921,RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977),33/460,0.040215099,0.362022692,0,0,1.417882069,4.556382124,SPI1;AKNA;CEBPE;LEF1;GATA2;BACH1;PHF21A;ETS2;ELK3;PHF21B;SOX18;ZBED4;KLF10;TGIF1;EGR1;STAT1;ZBTB16;STAT3;SOX11;NFATC1;ETV1;ETV5;RUNX1;KLF8;PER1;NR4A1;ELF1;NR4A3;ELF4;RARA;FOSB;IRF8;MZF1,All,GO_Molecular_Function_2018,HET
3922,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)",15/175,0.040543658,0.362022692,0,0,1.714220574,5.494721341,KLF10;AKNA;CEBPE;STAT3;SOX11;ETV1;KLF15;ELK3;NR4A1;ELF1;NR4A3;SOX18;ELF4;SOX9;MZF1,All,GO_Molecular_Function_2018,HET
3923,protein tyrosine phosphatase activity (GO:0004725),Jul-62,0.041823345,0.362022692,0,0,2.322113022,7.371084778,DUSP4;PTPRC;EYA4;PTPN9;PTPN6;DUSP26;DUSP6,All,GO_Molecular_Function_2018,HET
3924,protein kinase activity (GO:0004672),36/513,0.04373322,0.362022692,0,0,1.385021828,4.334629809,RET;DDR1;CSF1R;TP53RK;PELI3;LRRK2;CSF2RB;FGF2;PIK3CG;ERBB3;RPS6KA1;PBK;CCL3;SOX9;EPHB2;JAK3;STK32B;EPHB3;LYN;MAP3K1;EIF2AK2;CDC7;PASK;NRBP1;TGFBR1;HCK;SBK1;PRKD3;AXL;FES;BMP2K;BTK;SIK1;CAMK1G;HBEGF;CDK5R1,All,GO_Molecular_Function_2018,HET
3925,SH2 domain binding (GO:0042169),26-Apr,0.04403628,0.362022692,0,0,3.313500744,10.34720611,LAT2;IRS1;RACK1;PAG1,All,GO_Molecular_Function_2018,HET
3926,acetylglucosaminyltransferase activity (GO:0008375),Jun-50,0.044659054,0.362022692,0,0,2.487025511,7.73141179,B3GNT7;HEXB;HEXA;GCNT1;B3GNT2;POMGNT2,All,GO_Molecular_Function_2018,HET
3927,UDP-glycosyltransferase activity (GO:0008194),Jul-63,0.045024208,0.362022692,0,0,2.280526062,7.070896422,B4GALT1;B3GNT7;HEXB;HEXA;B3GNT2;POMGNT2;B4GALNT3,All,GO_Molecular_Function_2018,HET
3928,regulatory region DNA binding (GO:0000975),18/224,0.045927943,0.362022692,0,0,1.598475018,4.924392528,CEBPA;STAT3;TCF7;LEF1;TAF9;IKZF1;TTF1;TNF;KLF15;ETV5;RUNX1;SALL1;SOX18;HIVEP1;HIVEP2;BCOR;MZF1;NFE2L2,All,GO_Molecular_Function_2018,HET
3929,cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656),16-Mar,0.047634332,0.362022692,0,0,4.203550296,12.79645418,PYCARD;RACK1;CTSH,All,GO_Molecular_Function_2018,HET
3930,adrenergic receptor activity (GO:0004935),16-Mar,0.047634332,0.362022692,0,0,4.203550296,12.79645418,ADRB3;ADRB1;ADRA2C,All,GO_Molecular_Function_2018,HET
3931,protein binding involved in cell-matrix adhesion (GO:0098634),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,ITGB1;ITGA10,All,GO_Molecular_Function_2018,HET
3932,MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,DUSP4;DUSP6,All,GO_Molecular_Function_2018,HET
3933,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity (GO:0003831)",7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,B4GALT2;B4GALT1,All,GO_Molecular_Function_2018,HET
3934,aldehyde-lyase activity (GO:0016832),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,SGPL1;HOGA1,All,GO_Molecular_Function_2018,HET
3935,choline transmembrane transporter activity (GO:0015220),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,SLC44A1;SLC44A2,All,GO_Molecular_Function_2018,HET
3936,interleukin-6 receptor binding (GO:0005138),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,PYCARD;IL6ST,All,GO_Molecular_Function_2018,HET
3937,AP-2 adaptor complex binding (GO:0035612),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,BMP2K;LDLRAP1,All,GO_Molecular_Function_2018,HET
3938,myosin heavy chain binding (GO:0032036),7-Feb,0.047899938,0.362022692,0,0,7.282228626,22.12807893,SPTBN5;NKD2,All,GO_Molecular_Function_2018,HET
3939,phospholipase C activity (GO:0004629),27-Apr,0.049638055,0.371251283,0,0,3.169268109,9.517304238,PLCG2;PLD4;PLCE1;PLCH1,All,GO_Molecular_Function_2018,HET
3940,amino acid binding (GO:0016597),May-39,0.050670669,0.375067426,0,0,2.680919188,7.995594989,NANOS1;GRIN3B;AARS2;DDAH1;NOS3,All,GO_Molecular_Function_2018,HET
3941,ephrin receptor activity (GO:0005003),17-Mar,0.055668037,0.395739112,0,0,3.903090659,11.27348857,EFNA3;EPHB2;EPHB3,All,GO_Molecular_Function_2018,HET
3942,G-protein beta/gamma-subunit complex binding (GO:0031683),17-Mar,0.055668037,0.395739112,0,0,3.903090659,11.27348857,GNA13;GNA12;GNAI2,All,GO_Molecular_Function_2018,HET
3943,low-density lipoprotein particle binding (GO:0030169),17-Mar,0.055668037,0.395739112,0,0,3.903090659,11.27348857,THBS1;SCARF1;LDLR,All,GO_Molecular_Function_2018,HET
3944,transmembrane-ephrin receptor activity (GO:0005005),17-Mar,0.055668037,0.395739112,0,0,3.903090659,11.27348857,EFNA3;EPHB2;EPHB3,All,GO_Molecular_Function_2018,HET
3945,core promoter proximal region sequence-specific DNA binding (GO:0000987),21/278,0.05731024,0.400755267,0,0,1.495122861,4.274968855,KLF10;TGIF1;AKNA;STAT1;CEBPE;STAT3;LEF1;NFATC1;ETV1;ETS2;ELK3;KLF8;PER1;NR4A1;ELF1;NR4A3;SOX18;ELF4;FOSB;IRF8;MZF1,All,GO_Molecular_Function_2018,HET
3946,protein kinase inhibitor activity (GO:0004860),Jul-67,0.059372775,0.400755267,0,0,2.128040541,6.009415168,SPRED1;LRRTM3;LRRTM1;FLRT1;CHAD;RACK1;SPRY2,All,GO_Molecular_Function_2018,HET
3947,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)",21/280,0.06087986,0.400755267,0,0,1.48341884,4.151871064,KLF10;TGIF1;AKNA;CEBPE;STAT3;SOX11;ETV1;BACH1;KLF15;ETS2;ELK3;KLF8;NR4A1;ELF1;NR4A3;SOX18;ELF4;FOSB;IRF8;SOX9;MZF1,All,GO_Molecular_Function_2018,HET
3948,transferrin receptor binding (GO:1990459),8-Feb,0.061700315,0.400755267,0,0,6.06820365,16.90277641,TF;CD81,All,GO_Molecular_Function_2018,HET
3949,ether hydrolase activity (GO:0016803),8-Feb,0.061700315,0.400755267,0,0,6.06820365,16.90277641,TMEM86A;EPHX1,All,GO_Molecular_Function_2018,HET
3950,mismatched DNA binding (GO:0030983),8-Feb,0.061700315,0.400755267,0,0,6.06820365,16.90277641,TDG;MUTYH,All,GO_Molecular_Function_2018,HET
3951,type I transforming growth factor beta receptor binding (GO:0034713),8-Feb,0.061700315,0.400755267,0,0,6.06820365,16.90277641,TGFB1;TGFBR2,All,GO_Molecular_Function_2018,HET
3952,lipoprotein lipase activity (GO:0004465),8-Feb,0.061700315,0.400755267,0,0,6.06820365,16.90277641,LIPG;LPL,All,GO_Molecular_Function_2018,HET
3953,NAD+ binding (GO:0070403),8-Feb,0.061700315,0.400755267,0,0,6.06820365,16.90277641,HPGD;SIRT2,All,GO_Molecular_Function_2018,HET
3954,alpha-actinin binding (GO:0051393),29-Apr,0.061955202,0.400755267,0,0,2.915418672,8.108781389,MYBPC1;RARA;KCNN2;OBSL1,All,GO_Molecular_Function_2018,HET
3955,protein heterodimerization activity (GO:0046982),20/265,0.062837312,0.402832051,0,0,1.493167355,4.131902035,ITGB1;TENM2;ITGAM;BCL2A1;HEXB;HEXA;ITGB2;CYBB;CYBA;ADRB1;ADRA2C;HIF1A;CD3D;TLR1;MLXIPL;NR4A1;ERBB3;RARA;ABCG4;TLR2,All,GO_Molecular_Function_2018,HET
3956,microfilament motor activity (GO:0000146),18-Mar,0.064299048,0.404971199,0,0,3.642692308,9.996314288,MYO1E;MYO6;MYH9,All,GO_Molecular_Function_2018,HET
3957,peptidase activator activity involved in apoptotic process (GO:0016505),18-Mar,0.064299048,0.404971199,0,0,3.642692308,9.996314288,PYCARD;RACK1;CTSH,All,GO_Molecular_Function_2018,HET
3958,protein kinase activator activity (GO:0030295),Jun-55,0.06569865,0.410188093,0,0,2.232656997,6.078803636,ETAA1;ERBB3;SPRY2;NCKAP1L;IRGM;CDK5R1,All,GO_Molecular_Function_2018,HET
3959,phospholipase activity (GO:0004620),Jul-69,0.067489443,0.417736377,0,0,2.059176112,5.55109422,SEC23IP;PNPLA7;LIPG;PLCG2;NAPEPLD;PLCE1;LPL,All,GO_Molecular_Function_2018,HET
3960,NADP binding (GO:0050661),30-Apr,0.068661992,0.417790767,0,0,2.803139113,7.508374828,NANOS1;MTRR;NOS3;CAT,All,GO_Molecular_Function_2018,HET
3961,deoxyribonuclease activity (GO:0004536),30-Apr,0.068661992,0.417790767,0,0,2.803139113,7.508374828,MBD4;XRCC2;DNASE1L2;NME1,All,GO_Molecular_Function_2018,HET
3962,lipase activity (GO:0016298),May-43,0.071652331,0.42825352,0,0,2.398210121,6.321513032,SEC23IP;LIPG;LPL;LIPA;CES3,All,GO_Molecular_Function_2018,HET
3963,ephrin receptor binding (GO:0046875),19-Mar,0.07350357,0.42825352,0,0,3.41484375,8.914180884,LYN;EFNA3;PIK3CG,All,GO_Molecular_Function_2018,HET
3964,protein serine/threonine kinase activator activity (GO:0043539),Apr-31,0.075726271,0.42825352,0,0,2.699176559,6.965576377,ETAA1;SPRY2;IRGM;CDK5R1,All,GO_Molecular_Function_2018,HET
3965,MAP kinase phosphatase activity (GO:0033549),9-Feb,0.076650926,0.42825352,0,0,5.201042953,13.35884551,DUSP4;DUSP6,All,GO_Molecular_Function_2018,HET
3966,RAGE receptor binding (GO:0050786),9-Feb,0.076650926,0.42825352,0,0,5.201042953,13.35884551,S100B;S100A8,All,GO_Molecular_Function_2018,HET
3967,siRNA binding (GO:0035197),9-Feb,0.076650926,0.42825352,0,0,5.201042953,13.35884551,TLR9;TLR7,All,GO_Molecular_Function_2018,HET
3968,sterol esterase activity (GO:0004771),9-Feb,0.076650926,0.42825352,0,0,5.201042953,13.35884551,CES3;LIPA,All,GO_Molecular_Function_2018,HET
3969,glucocorticoid receptor binding (GO:0035259),9-Feb,0.076650926,0.42825352,0,0,5.201042953,13.35884551,NR4A1;NR4A3,All,GO_Molecular_Function_2018,HET
3970,voltage-gated cation channel activity (GO:0022843),9/100,0.0770264,0.42825352,0,0,1.804514634,4.626066462,KCNG1;CACNB1;RYR1;KCNV1;KCNG3;KCND3;HVCN1;CACNG2;CACNA1H,All,GO_Molecular_Function_2018,HET
3971,"transferase activity, transferring hexosyl groups (GO:0016758)",9/100,0.0770264,0.42825352,0,0,1.804514634,4.626066462,B4GALT2;B4GALT1;B3GNT7;DPY19L4;HEXB;HEXA;B3GNT2;B4GALNT3;POMGNT2,All,GO_Molecular_Function_2018,HET
3972,endopeptidase activity (GO:0004175),25/354,0.077142082,0.42825352,0,0,1.390473006,3.562539708,C1QB;PCSK1;C1QA;CTSZ;USP12;CTSS;KLK6;C4B;C4A;CTSO;CAPNS1;PLAU;MMP28;CTSH;RHBDL3;CTSE;CTSD;CTSC;CTSB;ST14;CELA1;SFRP1;TPP1;LGMN;C1QC,All,GO_Molecular_Function_2018,HET
3973,transforming growth factor beta receptor binding (GO:0005160),May-44,0.077538938,0.42825352,0,0,2.336594042,5.974612644,GDF10;TGFB1;BAMBI;TGFBR1;TGFBR2,All,GO_Molecular_Function_2018,HET
3974,heme binding (GO:0020037),Jul-72,0.08085255,0.438542869,0,0,1.963825364,4.939272473,NANOS1;NOS3;CAT;CYBB;HMOX1;CYP2E1;BACH1,All,GO_Molecular_Function_2018,HET
3975,"phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)",Apr-32,0.083140497,0.438542869,0,0,2.602639901,6.473346765,ADAP2;BTK;GAB2;ARAP1,All,GO_Molecular_Function_2018,HET
3976,organic cation transmembrane transporter activity (GO:0015101),20-Mar,0.083255524,0.438542869,0,0,3.213800905,7.988997405,SLC22A3;SLC44A1;SLC44A2,All,GO_Molecular_Function_2018,HET
3977,low-density lipoprotein particle receptor binding (GO:0050750),20-Mar,0.083255524,0.438542869,0,0,3.213800905,7.988997405,APOE;LDLRAP1;CLU,All,GO_Molecular_Function_2018,HET
3978,poly-purine tract binding (GO:0070717),20-Mar,0.083255524,0.438542869,0,0,3.213800905,7.988997405,ATXN1;PABPC3;PABPC1,All,GO_Molecular_Function_2018,HET
3979,phosphatidylinositol bisphosphate binding (GO:1902936),Aug-87,0.083658639,0.438542869,0,0,1.847049471,4.582549272,SNX18;ADAP2;NCF1;PLEKHA1;PLEK;GAB2;LDLRAP1;KCNJ2,All,GO_Molecular_Function_2018,HET
3980,single-stranded RNA binding (GO:0003727),May-45,0.0836774,0.438542869,0,0,2.278058767,5.651377099,MEX3A;AGO4;LACTB2;TLR7;DDX60,All,GO_Molecular_Function_2018,HET
3981,phosphoric diester hydrolase activity (GO:0008081),Apr-33,0.090896019,0.463120005,0,0,2.512760944,6.025698935,PLCG2;NAPEPLD;PLCE1;ENPP6,All,GO_Molecular_Function_2018,HET
3982,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)",10-Feb,0.092594522,0.463120005,0,0,4.55067243,10.82844019,TIPRL;MSRB1,All,GO_Molecular_Function_2018,HET
3983,galactosyltransferase activity (GO:0008378),10-Feb,0.092594522,0.463120005,0,0,4.55067243,10.82844019,B4GALT2;B4GALT1,All,GO_Molecular_Function_2018,HET
3984,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity (GO:0008532)",10-Feb,0.092594522,0.463120005,0,0,4.55067243,10.82844019,B3GNT7;B3GNT2,All,GO_Molecular_Function_2018,HET
3985,vinculin binding (GO:0017166),10-Feb,0.092594522,0.463120005,0,0,4.55067243,10.82844019,TLN1;SORBS3,All,GO_Molecular_Function_2018,HET
3986,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)",10-Feb,0.092594522,0.463120005,0,0,4.55067243,10.82844019,DDAH1;ARG1,All,GO_Molecular_Function_2018,HET
3987,polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653),21-Mar,0.09352702,0.463120005,0,0,3.035096154,7.191675196,GALNT6;GALNT15;GALNT9,All,GO_Molecular_Function_2018,HET
3988,chemokine receptor activity (GO:0004950),21-Mar,0.09352702,0.463120005,0,0,3.035096154,7.191675196,CX3CR1;CXCR4;CMKLR1,All,GO_Molecular_Function_2018,HET
3989,protein tyrosine/serine/threonine phosphatase activity (GO:0008138),Apr-34,0.098983172,0.483468824,0,0,2.428873917,5.61751278,DUSP4;DUSP26;DUSP6;DUSP14,All,GO_Molecular_Function_2018,HET
3990,aminopeptidase activity (GO:0004177),Apr-34,0.098983172,0.483468824,0,0,2.428873917,5.61751278,DPP7;XPNPEP2;CTSH;LAP3,All,GO_Molecular_Function_2018,HET
3991,steroid hormone receptor binding (GO:0035258),Jul-76,0.100871919,0.488971692,0,0,1.849588719,4.242778401,DCAF1;MBD4;NR4A1;NR4A3;LEF1;ISL1;ZNF366,All,GO_Molecular_Function_2018,HET
3992,GTPase activator activity (GO:0005096),18/249,0.101471841,0.488971692,0,0,1.423579347,3.257112455,LRRK2;THY1;ARAP1;GMIP;RASAL3;ARHGAP6;ARHGAP45;RASGRP3;SGSM1;TBC1D1;ADAP2;ARHGAP30;CDC42EP3;RGS10;RUNDC1;NCKAP1L;A2M;RGS8,All,GO_Molecular_Function_2018,HET
3993,sterol binding (GO:0032934),May-48,0.103566619,0.492627204,0,0,2.118788368,4.804437817,ABCA1;STARD4;NPC2;GPR183;APOE,All,GO_Molecular_Function_2018,HET
3994,Wnt-activated receptor activity (GO:0042813),22-Mar,0.104288767,0.492627204,0,0,2.875202429,6.499658512,FZD1;SFRP1;FZD2,All,GO_Molecular_Function_2018,HET
3995,NAD binding (GO:0051287),22-Mar,0.104288767,0.492627204,0,0,2.875202429,6.499658512,HPGD;SORD;SIRT2,All,GO_Molecular_Function_2018,HET
3996,neuropeptide receptor activity (GO:0008188),Apr-35,0.107391383,0.503967406,0,0,2.350398957,5.24438721,NPY5R;GRPR;SSTR4;HCRTR2,All,GO_Molecular_Function_2018,HET
3997,tumor necrosis factor receptor binding (GO:0005164),11-Feb,0.109387099,0.506709271,0,0,4.04482869,8.950649011,STAT1;TNF,All,GO_Molecular_Function_2018,HET
3998,immunoglobulin binding (GO:0019865),11-Feb,0.109387099,0.506709271,0,0,4.04482869,8.950649011,FCER1G;FCGR2B,All,GO_Molecular_Function_2018,HET
3999,serine-type peptidase activity (GO:0008236),16/220,0.112862189,0.519455462,0,0,1.432155335,3.12437256,C1QB;PCSK1;C1QA;ST14;CELA1;CTSS;KLK6;C4B;C4A;PLAU;CTSH;TPP1;RHBDL3;CTSD;CTSB;C1QC,All,GO_Molecular_Function_2018,HET
4000,ADP binding (GO:0043531),23-Mar,0.115510441,0.521040354,0,0,2.731298077,5.895218356,MYO6;TAP1;MYH9,All,GO_Molecular_Function_2018,HET
4001,lipoprotein particle binding (GO:0071813),23-Mar,0.115510441,0.521040354,0,0,2.731298077,5.895218356,THBS1;SCARF1;LDLR,All,GO_Molecular_Function_2018,HET
4002,peptidase inhibitor activity (GO:0030414),Apr-36,0.116109271,0.521040354,0,0,2.276828681,4.902521113,CST3;PROS1;CST7;RENBP,All,GO_Molecular_Function_2018,HET
4003,endopeptidase regulator activity (GO:0061135),Apr-36,0.116109271,0.521040354,0,0,2.276828681,4.902521113,CST3;PROS1;CST7;RENBP,All,GO_Molecular_Function_2018,HET
4004,nucleoside-triphosphatase activity (GO:0017111),28/424,0.119110317,0.529439862,0,0,1.292998955,2.751120582,GFM2;LRRK2;GNAI2;GNA13;RNF213;GNGT2;MYO6;ARHGDIB;GNA12;ABCA1;TOR3A;ENTPD1;HSPA5;RHOG;RHOC;KIF27;RHOB;DNM2;EEF1A1;ARL4D;MYO1E;RAB31;KIF26B;EEF1A2;MYH9;RAB7B;HSPA1B;HSPA1A,All,GO_Molecular_Function_2018,HET
4005,GTPase activity (GO:0003924),16/222,0.119455791,0.529439862,0,0,1.418099659,3.013190817,GFM2;LRRK2;RHOG;RHOC;RHOB;GNAI2;DNM2;EEF1A1;GNA13;ARL4D;GNGT2;RAB31;ARHGDIB;EEF1A2;GNA12;RAB7B,All,GO_Molecular_Function_2018,HET
4006,voltage-gated calcium channel activity (GO:0005245),Apr-37,0.125124738,0.540246182,0,0,2.207717211,4.588616896,RYR1;CACNB1;CACNG2;CACNA1H,All,GO_Molecular_Function_2018,HET
4007,voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008),12-Feb,0.126896949,0.540246182,0,0,3.640153698,7.514660307,KCND3;KCNJ2,All,GO_Molecular_Function_2018,HET
4008,BMP receptor binding (GO:0070700),12-Feb,0.126896949,0.540246182,0,0,3.640153698,7.514660307,PYCARD;TGFB1,All,GO_Molecular_Function_2018,HET
4009,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity (GO:0008499)",12-Feb,0.126896949,0.540246182,0,0,3.640153698,7.514660307,B3GNT7;B3GNT2,All,GO_Molecular_Function_2018,HET
4010,death receptor activity (GO:0005035),24-Mar,0.12716101,0.540246182,0,0,2.601098901,5.364249396,LTBR;TNFRSF1B;TNFRSF1A,All,GO_Molecular_Function_2018,HET
4011,ammonium transmembrane transporter activity (GO:0008519),24-Mar,0.12716101,0.540246182,0,0,2.601098901,5.364249396,SLC22A3;SLC44A1;SLC44A2,All,GO_Molecular_Function_2018,HET
4012,tumor necrosis factor-activated receptor activity (GO:0005031),24-Mar,0.12716101,0.540246182,0,0,2.601098901,5.364249396,LTBR;TNFRSF1B;TNFRSF1A,All,GO_Molecular_Function_2018,HET
4013,GTPase regulator activity (GO:0030695),19/275,0.129653545,0.54759556,0,0,1.355434418,2.769002639,LRRK2;THY1;ARAP1;GMIP;RASAL3;ARHGAP6;ARHGAP45;RASGRP3;SGSM1;TBC1D1;ADAP2;ARHGAP30;CDC42EP3;RGS10;RUNDC1;NCKAP1L;A2M;RGS8;RIN2,All,GO_Molecular_Function_2018,HET
4014,sequence-specific double-stranded DNA binding (GO:1990837),9/112,0.130462255,0.547788883,0,0,1.593265854,3.244958883,PER2;EGR1;MBD4;PER1;KLHL6;RARA;SOX11;ELK3;NFE2L2,All,GO_Molecular_Function_2018,HET
4015,core promoter binding (GO:0001047),Aug-97,0.133422428,0.556961065,0,0,1.638647343,3.300620889,KLF10;MBD4;SPI1;NR4A3;STAT1;CRY1;SOX9;RUNX1,All,GO_Molecular_Function_2018,HET
4016,tRNA binding (GO:0000049),Apr-38,0.134425064,0.557902866,0,0,2.14267112,4.299801802,EEF1A1;SLFN13;CTU1;AARS2,All,GO_Molecular_Function_2018,HET
4017,lipoprotein particle receptor binding (GO:0070325),25-Mar,0.139209023,0.567909538,0,0,2.482736014,4.89540602,APOE;LDLRAP1;CLU,All,GO_Molecular_Function_2018,HET
4018,transcription cofactor binding (GO:0001221),25-Mar,0.139209023,0.567909538,0,0,2.482736014,4.89540602,PER2;PER1;HDGF,All,GO_Molecular_Function_2018,HET
4019,triglyceride lipase activity (GO:0004806),25-Mar,0.139209023,0.567909538,0,0,2.482736014,4.89540602,LIPG;LPL;CES3,All,GO_Molecular_Function_2018,HET
4020,cation channel activity (GO:0005261),11/146,0.141183067,0.570071551,0,0,1.486089578,2.909314419,KCNG1;RYR1;P2RX7;KCNK6;GRIN3B;TRPC4;HVCN1;SCN2A;CACNG2;ASIC3;CACNA1H,All,GO_Molecular_Function_2018,HET
4021,transition metal ion binding (GO:0046914),26/399,0.143497852,0.570071551,0,0,1.273745785,2.472894919,B4GALT1;ZNF195;PHF8;FTH1;COA6;NANOS1;EGR1;ARG1;NOS3;RNF26;SORD;PEX12;S100B;ALOX15B;ATAD3A;SIRT2;LACC1;LACTB2;ALB;MT1G;ANG;TNP2;MNAT1;S100A8;MSRB1;FTL,All,GO_Molecular_Function_2018,HET
4022,carboxypeptidase activity (GO:0004180),Apr-39,0.143996998,0.570071551,0,0,2.08134195,4.033563324,CTSA;AGBL4;CTSZ;PEPD,All,GO_Molecular_Function_2018,HET
4023,double-stranded DNA binding (GO:0003690),Aug-99,0.144870104,0.570071551,0,0,1.602463237,3.09582721,EGR1;AIM2;STAT1;XRCC2;TDP1;TDG;CRY1;DDX60,All,GO_Molecular_Function_2018,HET
4024,insulin-like growth factor I binding (GO:0031994),13-Feb,0.145003768,0.570071551,0,0,3.309055978,6.389772379,IGFBP5;ITGA6,All,GO_Molecular_Function_2018,HET
4025,guanylate kinase activity (GO:0004385),13-Feb,0.145003768,0.570071551,0,0,3.309055978,6.389772379,MPP2;TJP2,All,GO_Molecular_Function_2018,HET
4026,serine-type endopeptidase activity (GO:0004252),14/196,0.145296788,0.570071551,0,0,1.403528444,2.707373826,C1QB;PCSK1;C1QA;CELA1;CTSS;KLK6;C4B;C4A;PLAU;CTSH;RHBDL3;CTSD;CTSB;C1QC,All,GO_Molecular_Function_2018,HET
4027,iron ion binding (GO:0005506),May-54,0.149509504,0.583412085,0,0,1.858755063,3.532369419,TF;FTH1;ALOX15B;PHF8;FTL,All,GO_Molecular_Function_2018,HET
4028,potassium channel activity (GO:0005267),8/100,0.150769558,0.585148878,0,0,1.584961143,2.998750787,KCNG1;KCNV1;KCNK6;KCNG3;KCND3;KCNK12;KCNMB4;KCNN2,All,GO_Molecular_Function_2018,HET
4029,hormone receptor binding (GO:0051427),Apr-40,0.153826842,0.590091782,0,0,2.023419955,3.787695891,MBD4;STAT1;CRY1;HIF1A,All,GO_Molecular_Function_2018,HET
4030,histone deacetylase activity (GO:0004407),Apr-40,0.153826842,0.590091782,0,0,2.023419955,3.787695891,SALL1;HDAC9;PHF21A;SIRT2,All,GO_Molecular_Function_2018,HET
4031,SH3 domain binding (GO:0017124),May-55,0.157890591,0.590091782,0,0,1.821483622,3.36219091,GPX1;NCF1;CYBA;WASF2;DNM2,All,GO_Molecular_Function_2018,HET
4032,calcium ion binding (GO:0005509),19/284,0.15998287,0.590091782,0,0,1.308770637,2.398568937,RET;RYR1;SPARC;GSN;HSPA5;CIB2;DMP1;S100B;ALOX15B;THBS1;RASGRP3;HPGDS;PITPNM3;HRC;S100A6;LCP1;DNASE1L2;S100A8;CDK5R1,All,GO_Molecular_Function_2018,HET
4033,protease binding (GO:0002020),9/118,0.162987949,0.590091782,0,0,1.505084024,2.730341337,PYCARD;ITGB1;CST3;ADAMTSL4;CFLAR;A2M;CST7;TNF;LDLR,All,GO_Molecular_Function_2018,HET
4034,transmembrane receptor protein serine/threonine kinase activity (GO:0004675),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,TGFBR1;TGFBR2,All,GO_Molecular_Function_2018,HET
4035,tropomyosin binding (GO:0005523),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,PYCARD;S100A6,All,GO_Molecular_Function_2018,HET
4036,insulin-like growth factor binding (GO:0005520),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,IGFBP5;ITGA6,All,GO_Molecular_Function_2018,HET
4037,"beta-1,3-galactosyltransferase activity (GO:0048531)",14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,B3GNT7;B3GNT2,All,GO_Molecular_Function_2018,HET
4038,Rac guanyl-nucleotide exchange factor activity (GO:0030676),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,SPATA13;DOCK2,All,GO_Molecular_Function_2018,HET
4039,MHC class I protein binding (GO:0042288),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,HLA-E;TAPBP,All,GO_Molecular_Function_2018,HET
4040,ribosomal small subunit binding (GO:0043024),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,MTIF2;NME1,All,GO_Molecular_Function_2018,HET
4041,poly(A) binding (GO:0008143),14-Feb,0.163597828,0.590091782,0,0,3.03314121,5.491029394,PABPC3;PABPC1,All,GO_Molecular_Function_2018,HET
4042,copper ion binding (GO:0005507),Apr-41,0.163900529,0.590091782,0,0,1.968628879,3.560256604,LACC1;ALB;ANG;COA6,All,GO_Molecular_Function_2018,HET
4043,calmodulin-dependent protein kinase activity (GO:0004683),27-Mar,0.16437097,0.590091782,0,0,2.275600962,4.108891984,MYLK3;CAMKK1;CAMK1G,All,GO_Molecular_Function_2018,HET
